LGA,Year,total dollars,rate
Wellington,2019,21540735.76,466.38
Wellington,2018,21260639.2,460.32
Wellington,2017,21829657.87,472.64
Wellington,2016,21744942.04,470.8
Wellington,2020,17095751.31,370.14
Wodonga,2019,7643162.83,179.33
Wodonga,2018,7768079.86,182.26
Wodonga,2017,7517544.65,176.39
Wodonga,2016,7664502.64,179.83
Wodonga,2020,6203088.85,145.54
Warrnambool,2019,19365548.92,614.86
Warrnambool,2018,19072936.03,605.57
Warrnambool,2017,18794442.23,596.72
Warrnambool,2016,18542341.26,588.72
Warrnambool,2020,15064562.02,478.3
Greater Bendigo,2019,50671967.86,364.19
Greater Bendigo,2018,49335223.89,354.58
Greater Bendigo,2017,47754127.2,343.22
Greater Bendigo,2016,48696383.97,349.99
Greater Bendigo,2020,37393438.34,268.75
Ballarat,2019,57540687.41,491.98
Ballarat,2018,55763965.38,476.79
Ballarat,2017,54568804.35,466.57
Ballarat,2016,54611247.32,466.93
Ballarat,2020,43713216.26,373.75
Swan Hill,2019,8486157.84,372.36
Swan Hill,2018,8074233.89,354.29
Swan Hill,2017,7439367.75,326.43
Swan Hill,2016,7527429.31,330.3
Swan Hill,2020,5971315.03,262.01
Greater Shepparton,2019,34161100.28,541.84
Greater Shepparton,2018,33343094.2,528.86
Greater Shepparton,2017,31147764.24,494.04
Greater Shepparton,2016,31422084.52,498.39
Greater Shepparton,2020,24979550.94,396.21
Mildura,2019,29990565.1,555.07
Mildura,2018,28052968.58,519.21
Mildura,2017,25309607.49,468.44
Mildura,2016,25711760.39,475.88
Mildura,2020,22534278.34,417.07
East Gippsland,2019,25103671.73,505.83
East Gippsland,2018,24387766.16,491.4
East Gippsland,2017,23472196.09,472.95
East Gippsland,2016,23639559.17,476.33
East Gippsland,2020,19870189.94,400.37
Bass Coast,2019,17616911.38,494.63
Bass Coast,2018,17675542.3,496.28
Bass Coast,2017,16126066.61,452.78
Bass Coast,2016,16321155.47,458.25
Bass Coast,2020,13044199.82,366.25
Latrobe,2019,46054599.85,669.0
Latrobe,2018,44669216.68,648.88
Latrobe,2017,43552057.13,632.65
Latrobe,2016,43563001.39,632.81
Latrobe,2020,34582777.34,502.36
Surf Coast,2019,3639388.08,151.72
Surf Coast,2018,3171443.64,132.22
Surf Coast,2017,2924662.21,121.93
Surf Coast,2016,2854155.94,118.99
Surf Coast,2020,2960696.56,123.43
South Gippsland,2019,6396812.57,203.92
South Gippsland,2018,6302670.64,200.92
South Gippsland,2017,6575894.83,209.63
South Gippsland,2016,6565792.42,209.31
South Gippsland,2020,5146148.99,164.05
Macedon Ranges,2019,9594189.79,210.51
Macedon Ranges,2018,9557852.54,209.71
Macedon Ranges,2017,9526013.69,209.01
Macedon Ranges,2016,9179543.81,201.41
Macedon Ranges,2020,6875014.49,150.84
Horsham,2019,9923476.11,508.79
Horsham,2018,9511776.16,487.68
Horsham,2017,9202786.89,471.84
Horsham,2016,9269919.86,475.28
Horsham,2020,7232445.14,370.82
Baw Baw,2019,17178584.59,315.03
Baw Baw,2018,16428073.8,301.27
Baw Baw,2017,15586093.22,285.83
Baw Baw,2016,14661092.83,268.86
Baw Baw,2020,12615876.95,231.36
Wangaratta,2019,8873355.74,325.44
Wangaratta,2018,8725929.3,320.03
Wangaratta,2017,8712157.83,319.52
Wangaratta,2016,8236834.09,302.09
Wangaratta,2020,6958810.67,255.22
Melbourne,2019,84505931.59,695.4
Melbourne,2018,83992700.4,691.17
Melbourne,2017,80349220.84,661.19
Melbourne,2016,79770052.63,656.42
Melbourne,2020,60550927.45,498.27
Moreland,2019,63544651.2,408.94
Moreland,2018,64168977.16,412.96
Moreland,2017,61627685.48,396.61
Moreland,2016,63531110.68,408.86
Moreland,2020,45240802.69,291.15
Darebin,2019,81576110.09,613.44
Darebin,2018,82129607.7,617.6
Darebin,2017,81112259.79,609.95
Darebin,2016,84324281.52,634.1
Darebin,2020,56942296.11,428.2
Boroondara,2019,20450974.24,111.59
Boroondara,2018,20325757.29,110.91
Boroondara,2017,19330775.5,105.48
Boroondara,2016,19997261.39,109.12
Boroondara,2020,13839655.64,75.52
Whitehorse,2019,52795623.89,336.52
Whitehorse,2018,53601233.78,341.66
Whitehorse,2017,52884289.66,337.09
Whitehorse,2016,53182056.73,338.99
Whitehorse,2020,37533801.12,239.24
Manningham,2019,56358630.19,447.11
Manningham,2018,58387460.55,463.2
Manningham,2017,54170062.46,429.74
Manningham,2016,56271032.24,446.41
Manningham,2020,40882396.55,324.33
Banyule,2019,57758108.75,369.24
Banyule,2018,58536906.89,374.22
Banyule,2017,55820854.07,356.85
Banyule,2016,55979946.78,357.87
Banyule,2020,42485587.54,271.6
Maroondah,2019,62861488.65,563.63
Maroondah,2018,65326363.45,585.73
Maroondah,2017,65114897.86,583.83
Maroondah,2016,65184083.08,584.45
Maroondah,2020,45231944.01,405.56
Knox,2019,73890071.24,458.6
Knox,2018,75860234.52,470.82
Knox,2017,75061924.49,465.87
Knox,2016,73822339.93,458.18
Knox,2020,53495581.38,332.02
Monash,2019,110209894.9,599.2
Monash,2018,111942285.4,608.62
Monash,2017,109200787.1,593.71
Monash,2016,111391124.0,605.62
Monash,2020,80541622.78,437.9
Port Phillip,2019,28426650.63,326.43
Port Phillip,2018,27496648.16,315.75
Port Phillip,2017,27466983.75,315.41
Port Phillip,2016,28095943.28,322.63
Port Phillip,2020,21478127.17,246.64
Kingston,2019,85701350.43,568.38
Kingston,2018,86280868.83,572.23
Kingston,2017,83016928.48,550.58
Kingston,2016,83473105.91,553.6
Kingston,2020,62080320.77,411.73
Greater Dandenong,2019,119311877.9,799.73
Greater Dandenong,2018,121420072.8,813.86
Greater Dandenong,2017,118190093.0,792.21
Greater Dandenong,2016,118836649.2,796.55
Greater Dandenong,2020,87430092.38,586.03
Frankston,2019,62253454.9,471.77
Frankston,2018,64622291.4,489.73
Frankston,2017,62408098.64,472.95
Frankston,2016,62900685.34,476.68
Frankston,2020,46303077.79,350.9
Casey,2019,132360622.0,442.81
Casey,2018,131514174.6,439.98
Casey,2017,127093891.9,425.19
Casey,2016,124817967.3,417.58
Casey,2020,98000778.71,327.86
Cardinia,2019,28545146.74,308.57
Cardinia,2018,29046899.53,313.99
Cardinia,2017,27045323.57,292.36
Cardinia,2016,25041008.45,270.69
Cardinia,2020,21286227.94,230.1
Yarra Ranges,2019,29226804.27,162.65
Yarra Ranges,2018,29300516.12,163.06
Yarra Ranges,2017,28850082.09,160.55
Yarra Ranges,2016,28793677.63,160.24
Yarra Ranges,2020,21194989.29,117.95
Hume,2019,111695894.1,585.08
Hume,2018,109623804.8,574.23
Hume,2017,105766409.6,554.02
Hume,2016,106043755.0,555.47
Hume,2020,85935114.72,450.14
Brimbank,2019,142904247.8,688.34
Brimbank,2018,139507225.2,671.98
Brimbank,2017,134141671.9,646.13
Brimbank,2016,143045743.5,689.02
Brimbank,2020,101974223.8,491.19
Melton,2019,67781774.82,524.73
Melton,2018,66052977.77,511.35
Melton,2017,61157311.67,473.45
Melton,2016,60035038.01,464.76
Melton,2020,51592384.79,399.4
Hobsons Bay,2019,47042973.65,520.23
Hobsons Bay,2018,47437370.43,524.59
Hobsons Bay,2017,46908518.85,518.74
Hobsons Bay,2016,46829609.25,517.87
Hobsons Bay,2020,34611658.77,382.75
Wyndham,2019,106057102.2,544.8
Wyndham,2018,105458372.2,541.73
Wyndham,2017,97761233.6,502.19
Wyndham,2016,97384531.85,500.25
Wyndham,2020,75755561.99,389.15
Mornington Peninsula,2019,83357567.15,463.15
Mornington Peninsula,2018,83996241.79,466.7
Mornington Peninsula,2017,82563313.29,458.73
Mornington Peninsula,2016,82381143.15,457.72
Mornington Peninsula,2020,63053341.44,350.33
Yarra,2019,30265707.48,367.9
Yarra,2018,31076310.57,377.75
Yarra,2017,30801195.8,374.41
Yarra,2016,32992353.39,401.04
Yarra,2020,22747249.32,276.51
Maribyrnong,2019,57257924.75,703.04
Maribyrnong,2018,54924962.83,674.4
Maribyrnong,2017,54068510.53,663.88
Maribyrnong,2016,53735025.14,659.79
Maribyrnong,2020,42243207.83,518.68
Stonnington,2019,19862345.3,205.07
Stonnington,2018,20852827.55,215.3
Stonnington,2017,23032562.79,237.8
Stonnington,2016,23443276.63,242.05
Stonnington,2020,14118284.77,145.77
Glen Eira,2019,74244676.72,492.47
Glen Eira,2018,77171466.4,511.88
Glen Eira,2017,76259820.19,505.83
Glen Eira,2016,76214352.31,505.53
Glen Eira,2020,54025303.76,358.35
Bayside,2019,13807869.64,141.86
Bayside,2018,15378669.22,157.99
Bayside,2017,14710079.11,151.13
Bayside,2016,13615020.66,139.88
Bayside,2020,10227125.75,105.07
Moonee Valley,2019,77650758.56,671.4
Moonee Valley,2018,78589175.42,679.51
Moonee Valley,2017,75679083.21,654.35
Moonee Valley,2016,75401077.51,651.95
Moonee Valley,2020,57497773.73,497.15
Whittlesea,2019,83872003.89,502.24
Whittlesea,2018,82322036.69,492.96
Whittlesea,2017,80110750.99,479.72
Whittlesea,2016,77580433.2,464.56
Whittlesea,2020,63277013.84,378.91
Nillumbik,2019,36834252.11,502.24
Nillumbik,2018,36153549.61,492.96
Nillumbik,2017,35182414.41,479.72
Nillumbik,2016,34071169.2,464.56
Nillumbik,2020,27789505.11,378.91
Ararat,2019,4409638.86,367.35
Ararat,2018,4658826.99,388.11
Ararat,2017,4364106.35,363.55
Ararat,2016,4337799.32,361.36
Ararat,2020,3356994.55,279.66
Northern Grampians,2019,4790945.52,367.35
Northern Grampians,2018,5061681.23,388.11
Northern Grampians,2017,4741475.75,363.55
Northern Grampians,2016,4712893.92,361.36
Northern Grampians,2020,3647277.81,279.66
Queenscliffe,2019,1896087.68,474.5
Queenscliffe,2018,1871627.83,468.38
Queenscliffe,2017,1817863.17,454.92
Queenscliffe,2016,1782994.62,446.19
Queenscliffe,2020,1403924.57,351.33
Greater Geelong,2019,118489347.12,474.5
Greater Geelong,2018,116960814.87,468.38
Greater Geelong,2017,113600980.73,454.92
Greater Geelong,2016,111421993.38,446.19
Greater Geelong,2020,87733340.16,351.33
Corangamite,2019,4763563.16,279.44
Corangamite,2018,4538124.33,266.21
Corangamite,2017,4532878.02,265.9
Corangamite,2016,4502722.49,264.14
Corangamite,2020,3684806.24,216.16
Colac-Otway,2019,5988056.26,279.44
Colac-Otway,2018,5704667.47,266.21
Colac-Otway,2017,5698072.58,265.9
Colac-Otway,2016,5660165.45,264.14
Colac-Otway,2020,4632000.52,216.16
Hepburn,2019,3179200.31,194.24
Hepburn,2018,3081645.66,188.28
Hepburn,2017,2935762.88,179.37
Hepburn,2016,2734198.49,167.06
Hepburn,2020,2481332.38,151.61
Moorabool,2019,9161543.51,194.24
Moorabool,2018,8880418.98,188.28
Moorabool,2017,8460026.65,179.37
Moorabool,2016,7879175.89,167.06
Moorabool,2020,7150488.3,151.61
Central Goldfields,2019,4882187.27,297.53
Central Goldfields,2018,4948886.55,301.6
Central Goldfields,2017,4741885.03,288.98
Central Goldfields,2016,4775807.05,291.05
Central Goldfields,2020,3736757.29,227.73
Mount Alexander,2019,5566508.73,297.53
Mount Alexander,2018,5642557.04,301.6
Mount Alexander,2017,5406540.74,288.98
Mount Alexander,2016,5445217.51,291.05
Mount Alexander,2020,4260527.28,227.73
Mansfield,2019,3067799.03,371.72
Mansfield,2018,3065703.2,371.47
Mansfield,2017,2856409.89,346.11
Mansfield,2016,2689098.97,325.83
Mansfield,2020,2109522.23,255.61
Murrindindi,2019,4663961.52,371.72
Murrindindi,2018,4660775.23,371.47
Murrindindi,2017,4342587.54,346.11
Murrindindi,2016,4088225.47,325.83
Murrindindi,2020,3207097.46,255.61
Mitchell,2019,14188152.33,371.72
Mitchell,2018,14178459.39,371.47
Mitchell,2017,13210506.39,346.11
Mitchell,2016,12436716.18,325.83
Mitchell,2020,9756252.74,255.61
Towong,2019,737852.77,102.18
Towong,2018,786656.69,108.94
Towong,2017,823183.67,114.0
Towong,2016,805909.42,111.61
Towong,2020,605845.98,83.9
Alpine,2019,1566749.27,102.18
Alpine,2018,1670379.04,108.94
Alpine,2017,1747940.05,114.0
Alpine,2016,1711260.08,111.61
Alpine,2020,1286447.35,83.9
Moira,2019,6007072.58,196.57
Moira,2018,5869534.46,192.07
Moira,2017,5465408.6,178.84
Moira,2016,5858564.94,191.71
Moira,2020,4819409.87,157.7
Strathbogie,2019,2375309.72,196.57
Strathbogie,2018,2320924.56,192.07
Strathbogie,2017,2161125.57,178.84
Strathbogie,2016,2316587.0,191.71
Strathbogie,2020,1905685.5,157.7
Benalla,2019,2695516.57,196.57
Benalla,2018,2633799.94,192.07
Benalla,2017,2452459.03,178.84
Benalla,2016,2628877.65,191.71
Benalla,2020,2162584.02,157.7
Gannawarra,2019,2238872.84,222.04
Gannawarra,2018,2109497.0,209.21
Gannawarra,2017,2170643.45,215.28
Gannawarra,2016,2088081.55,207.09
Gannawarra,2020,1726077.28,171.19
Campaspe,2019,8566469.7,222.04
Campaspe,2018,8071446.42,209.21
Campaspe,2017,8305407.55,215.28
Campaspe,2016,7989505.73,207.09
Campaspe,2020,6604389.73,171.19
Glenelg,2019,4606893.12,466.62
Glenelg,2018,4499086.63,455.7
Glenelg,2017,4429811.56,448.68
Glenelg,2016,4316219.45,437.17
Glenelg,2020,3577735.64,362.38
Southern Grampians,2019,8672045.84,466.62
Southern Grampians,2018,8469110.19,455.7
Southern Grampians,2017,8338706.35,448.68
Southern Grampians,2016,8124879.83,437.17
Southern Grampians,2020,6734753.06,362.38
