LGA,Weighted house price,Price Level
Yarra,1297482.43,High
Moonee Valley,1110607.49,High
Brimbank,631565.22,Medium
Port Phillip,1701644.86,High
Ballarat,412624.25,Low
Darebin,976951.84,Medium
Hobsons Bay,882106.26,Medium
Stonnington,2266728.12,High
Boroondara,2095494.63,High
Monash,1118210.39,High
Kingston,947335.95,Medium
Hume,553710.68,Low
Cardinia,634081.85,Medium
Mornington Peninsula,800780.0,Medium
Knox,786214.06,Medium
Maroondah,796428.1,Medium
Bayside,1864596.32,High
Yarra Ranges,669904.22,Medium
Greater Geelong,429665.34,Low
Greater Bendigo,363449.24,Low
Glen Eira,1480334.74,High
Casey,597261.44,Low
Whitehorse,1139119.57,High
Maribyrnong,856922.41,Medium
Banyule,937385.55,Medium
Moreland,883897.49,Medium
Manningham,1190813.87,High
Melton,461407.96,Low
Melbourne,783598.88,Medium
Frankston,616319.31,Medium
Greater Dandenong,649886.89,Medium
Nillumbik,814697.38,Medium
Whittlesea,599596.76,Low
Wyndham,545409.6,Low
